                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.7204,                0.34363,                      0,                0.83145,                0.91243,                0.85997,                0.85915,                0.90638,                0.43905,                0.89129,                0.90141,                0.94615,                0.87532,                 1.7336,                 0.3144,                      0,                0.88493,                0.91197,               0.001802,               0.001802,               0.001802
                     53,                 1.7094,                0.33682,                      0,                0.83409,                 0.9058,                0.85796,                0.82242,                  0.897,                 0.4408,                0.88748,                0.85166,                0.93937,                0.86036,                 1.7193,                0.33648,                      0,                0.86177,                0.91732,               0.001798,               0.001798,               0.001798
                     54,                 1.7133,                0.34681,                      0,                0.83517,                0.89868,                0.92979,                0.77465,                0.91574,                0.44079,                0.85885,                0.85703,                0.94263,                0.87701,                 1.7312,                0.32149,                      0,                0.91357,                0.91177,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.7103,                0.33475,                      0,                0.82465,                0.90449,                0.88564,                0.78873,                0.89322,                0.44758,                0.89322,                0.83568,                0.93615,                0.85869,                 1.8148,                0.31906,                      0,                0.82624,                0.91784,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.7783,                0.35753,                      0,                0.86744,                0.90759,                0.90628,                0.81721,                0.90366,                0.43698,                0.90517,                0.85915,                  0.941,                 0.8677,                 1.8185,                0.32243,                      0,                0.82895,                0.91373,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.7531,                0.34087,                      0,                0.84177,                0.91076,                0.89433,                0.83568,                0.91347,                0.44838,                0.88882,                0.86385,                 0.9444,                0.86064,                 1.8806,                0.34294,                      0,                0.81777,                0.92262,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.7333,                0.32083,                      0,                0.82934,                0.91265,                 0.8919,                0.85219,                0.91833,                0.45057,                0.91153,                0.87073,                0.94315,                0.87254,                 1.7286,                0.31611,                      0,                0.87956,                  0.909,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.7179,                0.32619,                      0,                0.83578,                0.91318,                0.84413,                0.83905,                 0.9019,                0.43224,                0.86815,                0.86554,                0.93653,                0.86375,                 1.7528,                0.31496,                      0,                0.86312,                0.90944,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.7482,                0.36146,                      0,                0.84767,                0.91673,                0.87996,                0.86043,                0.92736,                0.46197,                 0.8878,                0.88263,                0.95054,                0.87663,                  1.748,                0.33645,                      0,                0.84554,                0.90789,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.7141,                0.33052,                      0,                0.83873,                0.89931,                0.84873,                 0.8216,                0.90061,                0.43642,                0.86974,                0.84635,                0.93334,                0.86432,                 1.8777,                0.33066,                      0,                0.99884,                0.92216,              0.0017664,              0.0017664,              0.0017664
                     62,                  1.697,                0.32234,                      0,                0.82379,                0.90493,                0.91436,                0.79343,                0.91205,                0.44386,                0.87789,                0.87793,                0.94496,                0.87457,                 1.8235,                0.33083,                      0,                0.84735,                0.92216,              0.0017624,              0.0017624,              0.0017624
                     63,                 1.6838,                0.29996,                      0,                0.81496,                0.90054,                0.91698,                 0.8297,                  0.909,                0.43869,                0.94829,                0.86095,                 0.9512,                 0.8789,                 1.8226,                0.27794,                      0,                0.78327,                0.92662,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.6549,                0.30591,                      0,                0.79485,                0.90703,                0.88528,                0.83099,                0.90756,                0.45213,                0.88293,                0.89202,                0.94833,                0.86563,                 1.7116,                0.31648,                      0,                0.80206,                0.91131,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.6936,                0.30641,                      0,                0.79802,                0.89702,                 0.8683,                0.86854,                0.91942,                0.47019,                0.89221,                0.88263,                0.95036,                0.88518,                 1.6919,                0.27113,                      0,                0.81311,                0.90737,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.6599,                0.29079,                      0,                0.78708,                0.89385,                0.87795,                0.84038,                0.90607,                0.45285,                0.90864,                0.86854,                0.94023,                0.86344,                 1.7098,                0.28133,                      0,                0.82444,                0.90268,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.6977,                0.30405,                      0,                0.81431,                0.89804,                0.90499,                0.84962,                  0.923,                0.46124,                0.85731,                0.92488,                0.94785,                0.87867,                 1.7235,                0.27459,                      0,                0.78379,                0.90444,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.6895,                0.30799,                      0,                0.79048,                0.90243,                0.85895,                 0.8577,                0.89835,                0.45577,                 0.8604,                0.89671,                0.93442,                0.85785,                 1.7198,                0.28554,                      0,                 0.8573,                0.90466,              0.0017386,              0.0017386,              0.0017386
                     69,                  1.709,                0.31387,                      0,                0.81007,                0.90048,                0.88051,                0.84507,                0.91343,                0.44943,                0.90628,                0.85915,                0.95422,                0.88778,                  1.696,                0.26955,                      0,                  0.804,                0.90488,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.6719,                0.31268,                      0,                 0.7902,                0.90136,                0.87926,                 0.8547,                0.93033,                0.46688,                0.89968,                0.87324,                0.95829,                0.88889,                 1.6443,                 0.2752,                      0,                0.79494,                0.90246,              0.0017307,              0.0017307,              0.0017307
                     71,                 1.6437,                0.27879,                      0,                0.78515,                0.89251,                0.84464,                0.89671,                0.92696,                0.45489,                  0.861,                0.92488,                0.94746,                0.87768,                 1.7816,                0.27359,                      0,                0.78424,                 0.9071,              0.0017268,              0.0017268,              0.0017268
                     72,                 1.7181,                0.30059,                      0,                0.83113,                0.89814,                0.85159,                 0.8351,                0.90499,                0.44078,                0.84408,                0.86854,                 0.9404,                0.86351,                 1.7636,                0.28528,                      0,                0.86202,                0.90821,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.7069,                0.27018,                      0,                0.81226,                0.90371,                0.87443,                0.85446,                 0.9275,                0.45743,                0.88272,                0.86854,                0.94266,                 0.8746,                  1.714,                0.27395,                      0,                0.82466,                0.90967,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.6546,                 0.2709,                      0,                0.79235,                0.89322,                0.86834,                 0.8216,                0.90323,                0.44773,                0.86368,                0.90141,                0.94314,                0.88001,                 1.6978,                0.27214,                      0,                0.81537,                 0.9049,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.6681,                0.28432,                      0,                0.80574,                0.90266,                0.89189,                0.85208,                0.92501,                0.47036,                 0.8809,                0.89671,                0.95035,                0.88328,                 1.7042,                0.26786,                      0,                 0.7678,                0.90813,              0.0017109,              0.0017109,              0.0017109
                     76,                 1.6576,                0.26154,                      0,                0.78337,                0.89864,                0.87124,                0.85771,                0.93037,                0.47698,                0.87459,                 0.9108,                0.95425,                0.88878,                 1.7212,                0.26599,                      0,                0.86733,                0.90435,               0.001707,               0.001707,               0.001707
                     77,                 1.6797,                0.28502,                      0,                0.79909,                0.89629,                0.87142,                0.84507,                0.91062,                0.44973,                0.85727,                0.90233,                0.93819,                0.87068,                 1.8836,                0.27738,                      0,                0.90808,                0.91661,               0.001703,               0.001703,               0.001703
                     78,                 1.6962,                0.29019,                      0,                0.80227,                0.89019,                0.89479,                0.87843,                 0.9134,                 0.4681,                0.90507,                0.92958,                0.95626,                0.89631,                  1.727,                0.24062,                      0,                0.77496,                0.91211,               0.001699,               0.001699,               0.001699
                     79,                 1.6441,                 0.2642,                      0,                0.78736,                0.89278,                0.86218,                 0.9105,                 0.9257,                 0.4653,                0.88025,                0.92958,                0.94954,                0.88417,                 1.7267,                0.24942,                      0,                0.75453,                0.91019,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.6629,                0.26734,                      0,                0.78827,                0.89432,                0.84157,                0.90141,                0.91282,                0.45537,                0.86887,                0.93427,                0.94721,                0.88801,                  1.672,                0.24977,                      0,                0.85125,                 0.9066,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.6503,                0.24936,                      0,                0.78343,                0.88733,                0.89715,                0.85999,                0.92424,                0.48373,                0.89612,                0.89202,                0.94311,                0.88601,                 1.7407,                 0.2519,                      0,                0.86563,                0.90257,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.6641,                0.27353,                      0,                0.78562,                0.90148,                  0.917,                0.79812,                0.91596,                0.44585,                0.92868,                0.81221,                0.93752,                0.88362,                 1.8513,                0.24025,                      0,                0.79574,                0.92309,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.6139,                0.26121,                      0,                0.76571,                0.89115,                0.89096,                0.84399,                0.91795,                0.46746,                0.91079,                0.86277,                0.94823,                0.89102,                 1.8495,                0.25455,                      0,                0.90901,                0.92477,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.6502,                0.25662,                      0,                0.78425,                 0.8947,                   0.92,                0.85446,                0.93811,                0.47716,                0.92723,                0.86385,                0.95454,                0.89939,                 1.7818,                0.22374,                      0,                0.77007,                 0.9192,              0.0016753,              0.0016753,              0.0016753
                     85,                  1.673,                0.27763,                      0,                0.77985,                0.89764,                0.86867,                 0.8695,                0.92569,                0.44795,                0.87336,                0.87419,                0.94108,                0.87979,                 1.7987,                0.26956,                      0,                0.78373,                0.91203,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.6272,                0.26444,                      0,                0.77495,                0.89221,                0.87332,                0.87391,                0.92827,                0.47625,                0.89154,                0.88761,                 0.9541,                0.89003,                 1.8126,                 0.2979,                      0,                0.81027,                0.91388,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.5892,                0.26109,                      0,                0.76916,                0.89184,                0.90269,                0.87103,                0.93774,                0.49121,                0.91715,                0.88351,                0.95337,                0.89099,                 1.7858,                0.23774,                      0,                0.91776,                0.90936,              0.0016634,              0.0016634,              0.0016634
                     88,                  1.646,                0.26558,                      0,                0.79029,                0.89271,                0.85989,                0.86438,                0.89689,                0.44354,                0.89749,                0.90427,                0.94887,                 0.8862,                  1.813,                0.25951,                      0,                0.93199,                0.91817,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.6237,                0.24848,                      0,                0.76549,                0.88218,                0.88667,                0.89202,                0.93253,                0.46202,                0.90661,                0.91158,                0.95806,                0.89119,                 1.7272,                0.24236,                      0,                0.74802,                0.90276,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.6408,                0.24302,                      0,                0.74821,                0.88768,                0.85688,                 0.8714,                0.92358,                0.44734,                0.87509,                0.88804,                0.95487,                 0.8813,                 1.8373,                0.25004,                      0,                0.77971,                0.91628,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.6597,                0.26297,                      0,                0.77322,                  0.877,                0.88539,                0.87324,                0.93281,                0.45437,                 0.9009,                0.89629,                0.96085,                0.88504,                 1.7971,                0.25926,                      0,                  0.774,                0.91303,              0.0016476,              0.0016476,              0.0016476
                     92,                   1.62,                0.23918,                      0,                0.75544,                0.89223,                 0.8868,                0.88263,                0.92451,                0.47336,                0.90512,                0.89573,                0.95836,                0.89149,                 1.7256,                0.25526,                      0,                0.82563,                0.90385,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.6029,                0.26176,                      0,                0.75776,                0.88452,                0.86982,                0.88263,                 0.9303,                0.46393,                0.88887,                0.90141,                0.95357,                0.87767,                 1.7126,                0.32548,                      0,                0.81575,                 0.9003,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.5922,                0.23722,                      0,                0.75387,                0.88657,                0.89903,                0.86854,                0.93476,                0.47471,                0.90957,                0.89717,                0.95369,                0.88758,                  1.704,                0.24074,                      0,                0.76413,                0.89537,              0.0016357,              0.0016357,              0.0016357
